,item_id,labels,en,es-CO,de,context
31,number-line-slider-prompt1,number-line-slider,Move the slider to the indicated number.,Mueve la regla hasta el número indicado.,Bewege den Schieberegler auf die angegebene Zahl.,"number-line-slider-prompt1
"
32,number-identification-1,number-identification,Choose the number 1.,Elige el número 1.,Wähle die Zahl 1.,"number-identification-1
"
33,number-identification-2,number-identification,Choose the 2.,Elige el 2.,Wähle die 2.,"number-identification-2
"
34,number-identification-3,number-identification,Choose the 9.,Elige el 9.,Wähle die 9.,"number-identification-3
"
35,number-identification-4,number-identification,Choose the 0.,Elige el 0.,Wähle die 0.,"number-identification-4
"
36,number-identification-5,number-identification,Choose the 12.,Elige el 12.,Wähle die 12.,"number-identification-5
"
37,number-identification-6,number-identification,Choose the 30.,Elige el 30.,Wähle die 30.,"number-identification-6
"
38,number-identification-7,number-identification,Choose the 22.,Elige el 22.,Wähle die 22.,"number-identification-7
"
39,number-identification-8,number-identification,Choose the 45.,Elige el 45.,Wähle die 45.,"number-identification-8
"
40,number-identification-9,number-identification,Choose the 39.,Elige el 39.,Wähle die 39.,"number-identification-9
"
41,number-identification-10,number-identification,Choose the 23.,Elige el 23.,Wähle die 23.,"number-identification-10
"
42,number-identification-11,number-identification,Choose the 48.,Elige el 48.,Wähle die 48.,"number-identification-11
"
43,number-identification-12,number-identification,Choose the 91.,Elige el 91.,Wähle die 91.,"number-identification-12
"
44,number-identification-13,number-identification,Choose the 33.,Elige el 33.,Wähle die 33.,"number-identification-13
"
45,number-identification-14,number-identification,Choose the 74.,Elige el 74.,Wähle die 74.,"number-identification-14
"
46,number-identification-15,number-identification,Choose the 87.,Elige el 87.,Wähle die 87.,"number-identification-15
"
47,number-identification-16,number-identification,Choose the 65.,Elige el 65.,Wähle die 65.,"number-identification-16
"
48,number-identification-17,number-identification,Choose the 108.,Elige el 108.,Wähle die 108.,"number-identification-17
"
49,number-identification-18,number-identification,Choose the 245.,Elige el 245.,Wähle die 245.,"number-identification-18
"
144,trog-item-81,trog,the horse drank water by the barn and the sheep ate grass by the fence,"el caballo bebe agua junto al granero, y la oveja come pasto junto a la cerca",das Pferd trank Wasser bei der Scheune und die Schafe fraßen Gras am Zaun,"trog-item-81
"
145,trog-item-82,trog,the student opened the notebook and drew a tree,el estudiante abre el cuaderno y dibuja un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,"trog-item-82
"
146,trog-item-83,trog,we will have a picnic in the park if it is sunny,"Si hace sol, haremos un picnic en el parque","Wenn es sonnig ist, werden wir im Park ein Picknick machen.","trog-item-83
"
151,trog-item-88,trog,We will dance together if there is music playing.,"Si hay música sonando, bailaremos todos juntos.","Wir tanzen zusammen, wenn Musik läuft.","trog-item-88
"
153,trog-item-90,trog,"He likes swimming, however, he chose to play soccer with his friends.","Él prefiere ir a nadar. Sin embargo, elijió jugar fútbol con sus amigos.","Er schwimmt gerne, aber er hat sich entschieden, mit seinen Freunden Fußball zu spielen.","trog-item-90
"
156,trog-item-93,trog,The duck following the turtle is walking across the bridge.,El pato que seguía a la tortuga está caminando por el puente.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.","trog-item-93
"
157,trog-item-94,trog,Bumping the table with my foot caused a book to fall.,"Al tropezar la mesa con mi pie, tumbé un libro.",Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,"trog-item-94
"
159,trog-item-96,trog,The girl wearing a backpack was given a pen by her friend.,A la chica que llevaba mochila su amiga le regaló un bolígrafo.,The girl wearing a backpack was given a pen by her friend.,"trog-item-96
"
160,trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero se olvidaron de guardar el tren.","The kids cleaned the room, but forgot to put away the train.","trog-item-97
"
161,trog-item-98,trog,The monkey neither ate the spotted banana nor swung on the vine.,El mono no se comió el plátano manchado ni se columpió en la liana.,The monkey neither ate the spotted banana nor swung on the vine.,"trog-item-98
"
163,trog-item-100,trog,The plane that is gray is above the clouds.,El avión que es gris está por encima de las nubes.,The plane that is gray is above the clouds.,"trog-item-100
"
164,trog-item-101,trog,The fish swim beneath a whale and a sea turtle.,Los peces nadan bajo una ballena y una tortuga marina.,The fish swim beneath a whale and a sea turtle.,"trog-item-101
"
165,trog-item-102,trog,The car that the truck followed is driving toward the tunnel.,El coche que siguió el camión va hacia el túnel.,The car that the truck followed is driving toward the tunnel.,"trog-item-102
"
166,trog-item-103,trog,Instead of doing homework she did a puzzle in her room.,"En vez de hacer los deberes, hizo un puzzle en su habitación.",Instead of doing homework she did a puzzle in her room.,"trog-item-103
"
167,ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Ella es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.","Das ist Petra. Heute Morgen hat Petra ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","ToM-scene1-instruct1
"
168,ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero, cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.","Aber als Petra draußen gespielt hat, hat es jemand gefunden! Und hat es unter dem Teppich versteckt. ","ToM-scene1-instruct2
"
170,ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book? Behind the chair or under the rug?,"¿Dónde buscará Marisol su libro primero?, ¿detrás de la silla o debajo de la alfombra?",Wo wird Petra zuerst nach ihrem Buch suchen? Hinter dem Stuhl oder unter dem Teppich?,"ToM-scene1-q1-false_belief
Feel free to offer child names that would make sense to German children if the English ones wouldn't.... "
176,ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book: up on the shelf, or behind the coats?","Entonces, cuando Elián entre, ¿dónde buscará primero su libro: sobre la repisa o detrás de los abrigos?","Wenn Klaus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen: oben im Regal oder hinter den Mänteln?","ToM-scene2-q1-false_belief
"
177,ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Paul sees Ethan reaching for that book--the book that Paul thinks is his!","Veamos lo que hace. Mira, aquí está Elián cogiendo ese libro de la repisa. Y Pablo ve a Elián tomando el libro--¡el libro que Pablo cree que es suyo!","Lass uns schauen, was er macht. Oh, sieh mal, hier ist Klaus, der nach diesem Buch oben im Regal greift. Und jetzt sieht Paul, wie Klaus nach diesem Buch greift.","ToM-scene2-instruct4
"
178,shelf,theory-of-mind,up on the shelf,sobre la repisa,up on the shelf,"shelf
"
179,coats,theory-of-mind,behind the coats,detrás de los abrigos,behind the coats,"coats
"
180,ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Paul feels about Ethan reaching for that book? ,¿Cómo crees que se siente Pablo... ?,"Schau, Paul sieht, wie Klaus nach dem Buch greift - dem Buch, von dem Paul glaubt, dass es ihm gehört! Was denkst du, wie Paul sich fühlt? ","ToM-scene2-q2-emotion_reasoning
"
181,ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Paul's book?,¿Elián está actuando mal al tomar el libro de Pablo?,"Ist Klaus gemein und frech, weil er Pauls Buch genommen hat?","ToM-scene2-q3-false_belief
"
182,ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Paul's book?,¿Debería Elián meterse en problemas con el maestro por tomar el libro de Pablo?,"Sollte Klaus Ärger mit der Lehrerin bekommen, weil er Pauls Buch genommen hat?","ToM-scene2-q4-false_belief
"
183,ToM-scene2-q5-reality_check,theory-of-mind,Can you help Paul find his book? Is it on the shelf or behind the coats?,¿Puedes ayudar a Pablo a encontrar su libro? ¿Está sobre la repisa o detrás de los abrigos?,"Kannst du Paul helfen, sein Buch zu finden? Steht es im Regal oder hinter den Mänteln?","ToM-scene2-q5-reality_check
"
184,ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or behind the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o detrás de los abrigos?,"Kannst du Klaus helfen, sein Buch zu finden? Steht es im Regal oder hinter den Mänteln?","ToM-scene2-q6-reality_check
"
187,ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarle.,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Isabelle und Jens werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.","ToM-scene3-instruct3
"
188,ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the drinking fountain. So he draws a clue like this: here is the bottom metal part of the fountain, and here is lots of water coming out of it. Then Joshua goes to hide behind the fountain.","Johan decide esconderse detrás de la fuente. Así que, dibuja una pista como esta: esta es la parte metálica inferior de la fuente, y aquí sale mucha agua de la fuente. Entonces, Johan va a esconderse detrás de la fuente.","Johann beschließt, sich hinter dem Trinkbrunnen zu verstecken. Also zeichnet er einen Hinweis wie diesen: Hier ist der untere Metallteil des Brunnens, und hier kommt viel Wasser heraus. Dann versteckt sich Johann hinter dem Springbrunnen.","ToM-scene3-instruct4
"
189,ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw? A fountain or a tree?,¿Qué quería dibujar Johan? ¿Una fuente o un árbol?,Was wollte Johann zeichnen? Einen Springbrunnen oder einen Baum?,"ToM-scene3-q1
"
190,ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? Behind the fountain or behind the tree?","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan? ¿Detrás de la fuente o detrás del árbol?","Sobald Isabelle und Jens diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? Hinter dem Springbrunnen oder hinter dem Baum?","ToM-scene3-q2-false_belief
"
191,ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is? Behind the fountain or behind the tree?,¿Puedes ayudarles a encontrar dónde está realmente Johan? ¿Detrás de la fuente o detrás del árbol?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist? Hinter dem Springbrunnen oder hinter dem Baum?","ToM-scene3-q2-reality_check
"
193,ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es la hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist fast Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen finden. ","ToM-scene4-instruct1
"
496,general-encourage,general,Keep Going!,¡Sigue adelante!,Keep Going!,"general-encourage
"
565,number-identification-19,math,Choose the 587.,Escoge el 587.,Wähle die  Fünfhundertsiebenundachzig.,"number-identification-19
Es-co complete, de still needs review.
Sheet: translation-items-v2"
566,number-identification-20,math,Choose the 731.,Escoge el 731.,Wähle die  Siebenhunderteinunddreißig.,"number-identification-20
Es-co complete, de still needs review.
Sheet: translation-items-v2"
567,number-identification-21,math,Choose the 989.,Escoge el 989. ,Wähle die  Neunhundertneunundachzig.,"number-identification-21
Es-co complete, de still needs review.
Sheet: translation-items-v2"
568,trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!","trog-instruct1
Es-co complete, de still needs review.
Sheet: translation-items-v2"
569,trog-prompt1,trog,Choose the picture of the...,Escoge la imagen del...,Berühre das Bild mit dem/der/den...,"trog-prompt1
Es-co complete, de still needs review.
Sheet: translation-items-v2"
570,trog-prompt2,trog,Choose the picture of...,Escoge la imagen de...,Berühre das Bild mit...,"trog-prompt2
Es-co complete, de still needs review.
Sheet: translation-items-v2"
571,trog-prompt3,trog,Choose the picture that shows...,Escoge la imagen que muestra...,Berühre das Bild was folgendes zeigt:,"trog-prompt3
Es-co complete, de still needs review.
Sheet: translation-items-v2"
572,trog-item-1,trog,Choose the picture of the shoe.,Escoge la imagen del zapato.,Wähle das Bild mit dem Schuh.,"trog-item-1
Es-co complete, de still needs review.
Sheet: translation-items-v2"
573,trog-item-2,trog,Choose the picture of the bird.,Escoge la imagen del pájaro.,Wähle das Bild mit dem Vogel.,"trog-item-2
Es-co complete, de still needs review.
Sheet: translation-items-v2"
574,trog-item-3,trog,Choose the picture of the comb.,Escoge la imagen del peine.,Wähle das Bild mit dem Kamm.,"trog-item-3
Es-co complete, de still needs review.
Sheet: translation-items-v2"
575,trog-item-4,trog,Choose the picture of the apple.,Escoge la imagen de la manzana.,Wähle das Bild mit dem Apfel.,"trog-item-4
Es-co complete, de still needs review.
Sheet: translation-items-v2"
576,trog-item-5,trog,Choose the picture that shows eating.,Escoge la imagen que muestra comiendo.,"Wähle das Bild aus, das jemanden beim essen zeigt.","trog-item-5
Es-co complete, de still needs review.
Sheet: translation-items-v2"
577,trog-item-6,trog,Choose the picture that shows picking.,Escoge la imagen que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.","trog-item-6
Es-co complete, de still needs review.
Sheet: translation-items-v2"
578,trog-item-7,trog,Choose the picture that shows sitting.,Escoge la imagen que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.","trog-item-7
Es-co complete, de still needs review.
Sheet: translation-items-v2"
579,trog-item-8,trog,Choose the picture that shows running.,Escoge la imagen que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand rennt.","trog-item-8
Es-co complete, de still needs review.
Sheet: translation-items-v2"
580,trog-item-9,trog,Choose the picture that shows long.,Escoge la imagen que muestra largo.,"Wähle das Bild aus, das etwas Langes zeigt.","trog-item-9
Es-co complete, de still needs review.
Sheet: translation-items-v2"
581,trog-item-10,trog,Choose the picture that shows tall.,Escoge la imagen que muestra alto.,"Wähle das Bild aus, das etwas Großes zeigt.","trog-item-10
Es-co complete, de still needs review.
Sheet: translation-items-v2"
582,trog-item-11,trog,Choose the picture that shows red.,Escoge la imagen que muestra el rojo.,"Wähle das Bild aus, das etwas Rotes zeigt.","trog-item-11
Es-co complete, de still needs review.
Sheet: translation-items-v2"
583,trog-item-12,trog,Choose the picture that shows black.,Escoge la imagen que muestra el negro.,"Wähle das Bild aus, das etwas Schwarzes zeigt.","trog-item-12
Es-co complete, de still needs review.
Sheet: translation-items-v2"
634,trog-item-63,trog,the star is above the circle,la estrella está arriba del círculo,der Stern ist über dem Kreis,"trog-item-63
Es-co complete, de still needs review.
Sheet: translation-items-v2"
648,trog-item-77,trog,the book the pencil is on is red,el libro que el lapiz esta encima de es rojo,"das Buch, auf dem der Bleistift liegt, ist rot","trog-item-77
Es-co complete, de still needs review.
Sheet: translation-items-v2"
693,ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really?,¿Y dónde está realmente su libro?,Und wo ist ihr Buch wirklich?,"ToM-scene1-q2-reality_check
Final es-co & de translation review complete
Sheet: translation-items-v2"
695,ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ","ToM-scene2-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2"
696,ToM-scene2-instruct3,theory-of-mind,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.","ToM-scene2-instruct3
Final es-co & de translation review complete
Sheet: translation-items-v2"
721,ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,¿Cómo se siente Johan por perder su camión?,Was denkt Johann über den Verlust seines Lastwagens?,"ToM-scene4-q1-emotion_reasoning
Final es-co & de translation review complete
Sheet: translation-items-v2"
723,ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat. ","ToM-scene4-instruct3
Final es-co & de translation review complete
Sheet: translation-items-v2"
724,ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Mamá se enoja con Johan porque perdió el camión.","Johann sucht also überall, aber er kann seinen Spielzeug-LKW nicht finden. Seine Mutter wird wütend auf Johann, weil er seinen Laster verloren hat.","ToM-scene4-instruct4
Final es-co & de translation review complete
Sheet: translation-items-v2"
725,ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?,¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? ","ToM-scene4-q2
Final es-co & de translation review complete
Sheet: translation-items-v2"
726,ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? ,¿Mamá está enojada con Isabel? ,Ist Mutter böse auf Lisa? ,"ToM-scene4-q3
Final es-co & de translation review complete
Sheet: translation-items-v2"
727,ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? ,¿Johan está enojado con Isabel? ,Ist Johann böse auf Lisa? ,"ToM-scene4-q4-false_belief
Final es-co & de translation review complete
Sheet: translation-items-v2"
728,ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que Mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.","Als Lisa sieht, dass Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.","ToM-scene4-instruct5
Final es-co & de translation review complete
Sheet: translation-items-v2"
729,ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?,¿Ahora Mamá está enojada con Johan?,Ist Mutter jetzt böse auf Johann?,"ToM-scene4-q5
Final es-co & de translation review complete
Sheet: translation-items-v2"
730,ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?,¿Ahora Mamá está enojada con Isabel?,Ist Mutter jetzt böse auf Lisa?,"ToM-scene4-q6
Final es-co & de translation review complete
Sheet: translation-items-v2"
731,ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?,¿Ahora Johan está enojado con Isabel?,Ist Johann jetzt böse auf Lisa?,"ToM-scene4-q7
Final es-co & de translation review complete
Sheet: translation-items-v2"
732,ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel le pide disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y Mamá se une a ellos.","Lisa sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch Mutter schließt sich ihr an.","ToM-scene4-instruct6
Final es-co & de translation review complete
Sheet: translation-items-v2"
733,ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat. ","ToM-scene5-instruct1
Final es-co & de translation review complete
Sheet: translation-items-v2"
734,ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""","ToM-scene5-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2"
735,ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?,¿Cuál taza le dará el Papá a Carla?,Welche Tasse wird Papa Katie geben?,"ToM-scene5-q1
Final es-co & de translation review complete
Sheet: translation-items-v2"
736,ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?,¿Cuál taza quiere Carla?,Welche Tasse möchte Katie haben?,"ToM-scene5-q2-reality_check
Final es-co & de translation review complete
Sheet: translation-items-v2"
743,ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.","Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.","ToM-scene6-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2"
751,ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".
""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"".","Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""
""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiß Sam, was du ihm gekauft hast?""","ToM-scene6-instruct4
Final es-co & de translation review complete
Sheet: translation-items-v2"
752,ToM-scene6-q4,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,"ToM-scene6-q4
Final es-co & de translation review complete
Sheet: translation-items-v2"
753,ToM-scene6-instruct5,theory-of-mind,Then Dad asks: “What does Sam think they are selling at the shop?”,"Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?"".","Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""","ToM-scene6-instruct5
Final es-co & de translation review complete
Sheet: translation-items-v2"
754,ToM-scene6-q5,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,"ToM-scene6-q5
Final es-co & de translation review complete
Sheet: translation-items-v2"
758,hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","De repente, un chico te choca por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,"hostile-attribution-scene1-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2"
760,hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,"hostile-attribution-scene1-q2
Final es-co & de translation review complete
Sheet: translation-items-v2"
767,hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,"hostile-attribution-scene2-q2
Final es-co & de translation review complete
Sheet: translation-items-v2"
