,item_id,labels,en,es-CO,de,context
28,mental-rotation-training-instruct3,mental-rotation,,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,,"mental-rotation-training-instruct3
Final es-co & de translation review complete"
29,mental-rotation-test-instruct4,mental-rotation,,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?",,"mental-rotation-test-instruct4
Final es-co & de translation review complete"
30,mental-rotation-instruct-3D,mental-rotation,,Ahora verás imágenes que muestran bloques con tres lados. Tu tarea es elegir la imagen que coincide.,,"mental-rotation-instruct-3D
"
31,mental-rotation-prompt2,mental-rotation,,Escoge la imagen que coincida con esta.,,"mental-rotation-prompt2
Final es-co & de translation review complete"
32,mental-rotation-prompt1,mental-rotation,,Escoge la imagen que coincide.,,"mental-rotation-prompt1
Final es-co & de translation review complete"
33,math-instructions1,math,,"En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Eliges la que consideres correcta. ¡Empecemos!",,"math-instructions1
Es-co complete, de still needs review."
34,number-comparison-prompt1,"math, number-comparison",,¿Cuál número es mayor?,,"number-comparison-prompt1
Es-co complete, de still needs review."
35,number-comparison-prompt2,"math, number-comparison",,¿Cuál es mayor?,,"number-comparison-prompt2
Es-co complete, de still needs review."
36,number-identification-prompt1,"math, number-identification",,Escoge el número cuando lo escuches.,,"number-identification-prompt1
Es-co complete, de still needs review."
37,missing-number-prompt1,"math, missing-number",,¿Cuál número va en el espacio en blanco?,,"missing-number-prompt1
Es-co complete, de still needs review."
38,missing-number-prompt2,"math, missing-number",,¿Cuál número va aquí?,,"missing-number-prompt2
Es-co complete, de still needs review."
39,addition-prompt1,"math, addition",,Suma los números y elige la respuesta correcta.,,"addition-prompt1
Es-co complete, de still needs review."
40,addition-prompt2,"math, addition",,Suma los números.,,"addition-prompt2
Es-co complete, de still needs review."
41,subtraction-prompt1,"math, subtraction",,Resta los números y elige la respuesta correcta.,,"subtraction-prompt1
Es-co complete, de still needs review."
42,subtraction-prompt2,"math, subtraction",,Resta los números.,,"subtraction-prompt2
Es-co complete, de still needs review."
43,multiplication-prompt1,"math, multiplication",,Multiplica los números y elige la respuesta correcta.,,"multiplication-prompt1
Es-co complete, de still needs review."
44,multiplication-prompt2,"math, multiplication",,Multiplica los números.,,"multiplication-prompt2
Es-co complete, de still needs review."
45,number-line-instruct1,math,,Aquí tienes una recta numérica. Mira qué números están en los extremos. Puedes mover la barra roja hacia delante y hacia atrás a lo largo de la línea negra. Pon la barra roja en el lugar del número indicado.,,"number-line-instruct1
Es-co complete, de still needs review."
46,number-line-prompt1,"math, number-line-4AFC",,Elige el número que está marcado en la línea recta de números.,,"number-line-prompt1
Es-co complete, de still needs review."
47,number-line-slider-prompt1,math,,Pon la barra roja sobre la linea recta en el lugar del número indicado.,,"number-line-slider-prompt1
Es-co complete, de still needs review."
48,number-identification-1,"math, number-identification",,Elige el número 1.,,"number-identification-1
Es-co complete, de still needs review."
49,number-identification-2,"math, number-identification",,Elige el 2.,,"number-identification-2
Es-co complete, de still needs review."
50,number-identification-3,"math, number-identification",,Elige el 9.,,"number-identification-3
Es-co complete, de still needs review."
51,number-identification-4,"math, number-identification",,Elige el 0.,,"number-identification-4
Es-co complete, de still needs review."
52,number-identification-5,"math, number-identification",,Elige el 12.,,"number-identification-5
Es-co complete, de still needs review."
53,number-identification-6,"math, number-identification",,Elige el 30.,,"number-identification-6
Es-co complete, de still needs review."
54,number-identification-7,"math, number-identification",,Elige el 22.,,"number-identification-7
Es-co complete, de still needs review."
55,number-identification-8,"math, number-identification",,Elige el 45.,,"number-identification-8
Es-co complete, de still needs review."
56,number-identification-9,"math, number-identification",,Elige el 39.,,"number-identification-9
Es-co complete, de still needs review."
57,number-identification-10,"math, number-identification",,Elige el 23.,,"number-identification-10
Es-co complete, de still needs review."
58,number-identification-11,"math, number-identification",,Elige el 48.,,"number-identification-11
Es-co complete, de still needs review."
59,number-identification-12,"math, number-identification",,Elige el 91.,,"number-identification-12
Es-co complete, de still needs review."
60,number-identification-13,"math, number-identification",,Elige el 33.,,"number-identification-13
Es-co complete, de still needs review."
61,number-identification-14,"math, number-identification",,Elige el 74.,,"number-identification-14
Es-co complete, de still needs review."
62,number-identification-15,"math, number-identification",,Elige el 87.,,"number-identification-15
Es-co complete, de still needs review."
63,number-identification-16,"math, number-identification",,Elige el 65.,,"number-identification-16
Es-co complete, de still needs review."
64,number-identification-17,"math, number-identification",,Elige el 108.,,"number-identification-17
Es-co complete, de still needs review."
65,number-identification-18,"math, number-identification",,Elige el 245.,,"number-identification-18
Es-co complete, de still needs review."
66,number-identification-19,"math, number-identification",,Elige el 587.,,"number-identification-19
Es-co complete, de still needs review."
67,number-identification-20,"math, number-identification",,Elige el 731.,,"number-identification-20
Es-co complete, de still needs review."
68,number-identification-21,"math, number-identification",,Elige el 989. ,,"number-identification-21
Es-co complete, de still needs review."
69,trog-instruct1,trog,,"Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú tocarás la imagen que va con las palabras que yo diga. ¡Empecemos!",,"trog-instruct1
Es-co complete, de still needs review."
70,trog-prompt1,trog,,Elige la imagen del...,,"trog-prompt1
Es-co complete, de still needs review."
71,trog-prompt2,trog,,Elige la imagen de...,,"trog-prompt2
Es-co complete, de still needs review."
72,trog-prompt3,trog,,Elige la imagen que muestra...,,"trog-prompt3
Es-co complete, de still needs review."
73,trog-item-1,trog,,Elige la imagen del zapato.,,"trog-item-1
Es-co complete, de still needs review."
74,trog-item-2,trog,,Elige la imagen del pájaro.,,"trog-item-2
Es-co complete, de still needs review."
75,trog-item-3,trog,,Elige la imagen del peine.,,"trog-item-3
Es-co complete, de still needs review."
76,trog-item-4,trog,,,,"trog-item-4
Es-co complete, de still needs review."
77,trog-item-5,trog,,Elige la imagen que muestra comiendo.,,"trog-item-5
Es-co complete, de still needs review."
78,trog-item-6,trog,,Elige la imagen que muestra recogiendo.,,"trog-item-6
Es-co complete, de still needs review."
79,trog-item-7,trog,,Elige la imagen que muestra sentado.,,"trog-item-7
Es-co complete, de still needs review."
80,trog-item-8,trog,,Elige la imagen que muestra corriendo.,,"trog-item-8
Es-co complete, de still needs review."
81,trog-item-9,trog,,Elige la imagen que muestra largo.,,"trog-item-9
Es-co complete, de still needs review."
82,trog-item-10,trog,,Elige la imagen que muestra alto.,,"trog-item-10
Es-co complete, de still needs review."
83,trog-item-11,trog,,Elige la imagen que muestra el rojo.,,"trog-item-11
Es-co complete, de still needs review."
84,trog-item-12,trog,,Elige la imagen que muestra el negro.,,"trog-item-12
Es-co complete, de still needs review."
85,trog-item-13,trog,,el niño está corriendo,,"trog-item-13
Es-co complete, de still needs review."
86,trog-item-14,trog,,la taza grande,,"trog-item-14
Es-co complete, de still needs review."
87,trog-item-15,trog,,el perro está sentado,,"trog-item-15
Es-co complete, de still needs review."
88,trog-item-16,trog,,la pelota roja,,"trog-item-16
Es-co complete, de still needs review."
89,trog-item-17,trog,,el niño no está corriendo,,"trog-item-17
Es-co complete, de still needs review."
90,trog-item-18,trog,,el perro no está bebiendo,,"trog-item-18
Es-co complete, de still needs review."
91,trog-item-19,trog,,la niña no está saltando,,"trog-item-19
Es-co complete, de still needs review."
92,trog-item-20,trog,,el perro no está sentado,,"trog-item-20
Es-co complete, de still needs review."
93,trog-item-21,trog,,el niño salta por encima de la caja,,"trog-item-21
Es-co complete, de still needs review."
94,trog-item-22,trog,,la niña está sentada encima de la mesa,,"trog-item-22
Es-co complete, de still needs review."
95,trog-item-23,trog,,el hombre se está comiendo una manzana,,"trog-item-23
Es-co complete, de still needs review."
96,trog-item-24,trog,,la señora está llevando la bolsa,,"trog-item-24
Es-co complete, de still needs review."
97,trog-item-25,trog,,están sentadas encima de la mesa,,"trog-item-25
Es-co complete, de still needs review."
98,trog-item-26,trog,,la vaca está mirándolas,,"trog-item-26
Es-co complete, de still needs review."
99,trog-item-27,trog,,están saltando por encima de la pared,,"trog-item-27
Es-co complete, de still needs review."
100,trog-item-28,trog,,el elefante está llevandolos,,"trog-item-28
Es-co complete, de still needs review."
101,trog-item-29,trog,,la niña está empujando al caballo,,"trog-item-29
Es-co complete, de still needs review."
102,trog-item-30,trog,,el niño persigue a la oveja,,"trog-item-30
Es-co complete, de still needs review."
103,trog-item-31,trog,,el hombre persigue al perro,,"trog-item-31
Es-co complete, de still needs review."
104,trog-item-32,trog,,la vaca está empujando a la señora,,"trog-item-32
Es-co complete, de still needs review."
105,trog-item-33,trog,,ella está sentada en la silla,,"trog-item-33
Es-co complete, de still needs review."
106,trog-item-34,trog,,la señora lo está cargando,,"trog-item-34
Es-co complete, de still needs review."
107,trog-item-35,trog,,él está sentado en el árbol,,"trog-item-35
Es-co complete, de still needs review."
108,trog-item-36,trog,,el caballo la está mirando,,"trog-item-36
Es-co complete, de still needs review."
109,trog-item-37,trog,,los gatos miran la pelota,,"trog-item-37
Es-co complete, de still needs review."
110,trog-item-38,trog,,el niño se para encima de las sillas,,"trog-item-38
Es-co complete, de still needs review."
111,trog-item-39,trog,,los niños recogen las manzanas,,"trog-item-39
Es-co complete, de still needs review."
112,trog-item-40,trog,,la niña deja caer las tazas,,"trog-item-40
Es-co complete, de still needs review."
113,trog-item-41,trog,,el tenedor es más largo que el lápiz,,"trog-item-41
Es-co complete, de still needs review."
114,trog-item-42,trog,,la caja es más grande que la taza,,"trog-item-42
Es-co complete, de still needs review."
115,trog-item-43,trog,,el zapato es más grande que el pájaro,,"trog-item-43
Es-co complete, de still needs review."
116,trog-item-44,trog,,el caballo es más alto que la pared,,"trog-item-44
Es-co complete, de still needs review."
117,trog-item-45,trog,,la niña es perseguida por el caballo,,"trog-item-45
Es-co complete, de still needs review."
118,trog-item-46,trog,,el elefante es empujado por el niño,,"trog-item-46
Es-co complete, de still needs review."
119,trog-item-47,trog,,el caballo es perseguido por el hombre,,"trog-item-47
Es-co complete, de still needs review."
120,trog-item-48,trog,,la vaca es empujada por el hombre,,"trog-item-48
Es-co complete, de still needs review."
121,trog-item-49,trog,,la taza está en la caja,,"trog-item-49
Es-co complete, de still needs review."
122,trog-item-50,trog,,el lápiz está encima de la caja,,"trog-item-50
Es-co complete, de still needs review."
123,trog-item-51,trog,,el círculo está en la estrella,,"trog-item-51
Es-co complete, de still needs review."
124,trog-item-52,trog,,el tenedor está encima del zapato,,"trog-item-52
Es-co complete, de still needs review."
125,trog-item-53,trog,,el niño que persigue al caballo es alto,,"trog-item-53
Es-co complete, de still needs review."
126,trog-item-54,trog,,el lápiz encima del zapato es azul,,"trog-item-54
Es-co complete, de still needs review."
127,trog-item-55,trog,,la vaca que persigue al gato es marrón,,"trog-item-55
Es-co complete, de still needs review."
128,trog-item-56,trog,,el círculo en la estrella es amarillo,,"trog-item-56
Es-co complete, de still needs review."
129,trog-item-57,trog,,"la caja es roja, pero no la silla",,"trog-item-57
Es-co complete, de still needs review."
130,trog-item-58,trog,,el gato es grande pero no negro,,"trog-item-58
Es-co complete, de still needs review."
131,trog-item-59,trog,,"el caballo está parado, pero no el niño",,"trog-item-59
Es-co complete, de still needs review."
132,trog-item-60,trog,,"el niño está sentado, pero no está comiendo",,"trog-item-60
Es-co complete, de still needs review."
133,trog-item-61,trog,,el lápiz está arriba de la flor,,"trog-item-61
Es-co complete, de still needs review."
134,trog-item-62,trog,,el peine está debajo de la cuchara,,"trog-item-62
Es-co complete, de still needs review."
135,trog-item-63,trog,,la estrella está encima del círculo,,"trog-item-63
Es-co complete, de still needs review."
136,trog-item-64,trog,,el cuadrado está debajo de la estrella,,"trog-item-64
Es-co complete, de still needs review."
137,trog-item-65,trog,,"no sólo el pájaro, también la flor es azul.",,"trog-item-65
Es-co complete, de still needs review."
138,trog-item-66,trog,,"la caja no sólo es grande, sino también azul",,"trog-item-66
Es-co complete, de still needs review."
139,trog-item-67,trog,,"no sólo la niña, también el gato está sentado.",,"trog-item-67
Es-co complete, de still needs review."
140,trog-item-68,trog,,"la niña no solo tiene comida, sino también bebida",,"trog-item-68
Es-co complete, de still needs review."
141,trog-item-69,trog,,el lápiz está encima del libro que es amarillo,,"trog-item-69
Es-co complete, de still needs review."
142,trog-item-70,trog,,la niña persigue al perro que es grande,,"trog-item-70
Es-co complete, de still needs review."
143,trog-item-71,trog,,el cuadrado está en la estrella que es azul,,"trog-item-71
Es-co complete, de still needs review."
144,trog-item-72,trog,,el perro persigue al caballo que es marrón,,"trog-item-72
Es-co complete, de still needs review."
145,trog-item-73,trog,,ni el perro ni la pelota son marrones,,"trog-item-73
Es-co complete, de still needs review."
146,trog-item-74,trog,,el lápiz no es largo ni rojo,,"trog-item-74
Es-co complete, de still needs review."
147,trog-item-75,trog,,ni el niño ni el caballo están corriendo,,"trog-item-75
Es-co complete, de still needs review."
148,trog-item-76,trog,,el niño no tiene ni sombrero ni zapatos,,"trog-item-76
Es-co complete, de still needs review."
149,trog-item-77,trog,,"el libro, sobre el que está el lápiz, es rojo",,"trog-item-77
Es-co complete, de still needs review."
150,trog-item-78,trog,,el gato que la vaca persigue es negro,,"trog-item-78
Es-co complete, de still needs review."
151,trog-item-79,trog,,"el círculo, en el que está la estrella, es rojo",,"trog-item-79
Es-co complete, de still needs review."
152,trog-item-80,trog,,el niño que el perro persigue es grande,,"trog-item-80
Es-co complete, de still needs review."
153,trog-item-81,trog,,"el caballo bebe agua junto al granero, y la oveja come pasto junto a la cerca",,"trog-item-81
Es-co complete, de still needs review."
154,trog-item-82,trog,,el estudiante abre el cuaderno y dibuja un árbol,,"trog-item-82
Es-co complete, de still needs review."
155,trog-item-83,trog,,"Si hace sol, haremos un picnic en el parque",,"trog-item-83
Es-co complete, de still needs review."
156,trog-item-84,trog,,encontró sus llaves debajo del sofá con cojines,,"trog-item-84
Es-co complete, de still needs review."
157,trog-item-85,trog,,ella es la jardinera que usa un sombrero que tiene una flor,,"trog-item-85
Es-co complete, de still needs review."
158,trog-item-86,trog,,Ella tropezó con una piedra y dejo caer sus libros.,,"trog-item-86
Es-co complete, de still needs review."
159,trog-item-87,trog,,"La maestra dará pastel a los estudiantes, si se ponen en fila.",,"trog-item-87
Es-co complete, de still needs review."
160,trog-item-88,trog,,"Si hay música sonando, bailaremos todos juntos.",,"trog-item-88
Es-co complete, de still needs review."
161,trog-item-89,trog,,"Aunque hace calor afuera, estoy usando una chaqueta con capucha.",,"trog-item-89
Es-co complete, de still needs review."
162,trog-item-90,trog,,"Le gusta nadar. Sin embargo, elijió jugar fútbol con sus amigos.",,"trog-item-90
Es-co complete, de still needs review."
163,trog-item-91,trog,,"A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",,"trog-item-91
Es-co complete, de still needs review."
164,trog-item-92,trog,,Él usó el sombrero de payaso a pesar de su gran tamaño.,,"trog-item-92
Es-co complete, de still needs review."
165,trog-item-93,trog,,El pato que seguía a la tortuga está caminando por el puente.,,"trog-item-93
Es-co complete, de still needs review."
166,trog-item-94,trog,,"Al tropezar la mesa con mi pie, tumbé un libro.",,"trog-item-94
Es-co complete, de still needs review."
167,trog-item-95,trog,,La persona persigue al perro que es grande.,,"trog-item-95
Es-co complete, de still needs review."
168,trog-item-96,trog,,A la niña que llevaba el morral su amiga le mostró una flor.,,"trog-item-96
Final es-co & de translation review complete"
169,trog-item-97,trog,,"Los niños limpiaron la habitación, pero se olvidaron de guardar el tren.",,"trog-item-97
Es-co complete, de still needs review."
170,trog-item-98,trog,,El mono no se comió el plátano ni se columpió en la liana.,,"trog-item-98
Final es-co & de translation review complete"
171,trog-item-99,trog,,"Su madre dijo que haría sol. Sin embargo, llovió a cántaros.",,"trog-item-99
Es-co complete, de still needs review."
172,trog-item-100,trog,,El avión que es gris está por encima de las nubes.,,"trog-item-100
Es-co complete, de still needs review."
173,trog-item-101,trog,,Los peces nadan bajo una ballena y una tortuga marina.,,"trog-item-101
Es-co complete, de still needs review."
174,trog-item-102,trog,,El coche que siguió el camión va hacia el túnel.,,"trog-item-102
Es-co complete, de still needs review."
175,trog-item-103,trog,,"En vez de hacer los deberes, hizo un puzzle en su habitación.",,"trog-item-103
Es-co complete, de still needs review."
176,yes,theory-of-mind,,sí,,"yes
"
177,no,theory-of-mind,,no,,"no
"
178,happy,theory-of-mind,,feliz,,"happy
"
179,sad,theory-of-mind,,triste,,"sad
"
180,angry,theory-of-mind,,enojado,,"angry
"
181,scared,theory-of-mind,,asustado,,"scared
"
182,calm,theory-of-mind,,tranquilo,,"calm
"
183,proud,theory-of-mind,,orgulloso,,"proud
"
184,disgusted,theory-of-mind,,asqueado,,"disgusted
"
185,surprised,theory-of-mind,,sorprendido,,"surprised
"
186,ToM-intro,theory-of-mind,,Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,,"ToM-intro
"
187,ToM-transition,theory-of-mind,,¡Bien hecho! Ahora vamos con una nueva historia.,,"ToM-transition
"
188,ToM-scene1-instruct1,theory-of-mind,,"Ella es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.",,"ToM-scene1-instruct1
Final es-co & de translation review complete"
189,ToM-scene1-instruct2,theory-of-mind,,"Pero, cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.",,"ToM-scene1-instruct2
Final es-co & de translation review complete"
190,ToM-scene1-instruct3,theory-of-mind,,"Ahora, es el momento de leer y Marisol quiere su libro.",,"ToM-scene1-instruct3
Final es-co & de translation review complete"
191,ToM-scene1-q1-false_belief,theory-of-mind,,¿Dónde buscará Marisol su libro primero?,,"ToM-scene1-q1-false_belief
Final es-co & de translation review complete"
192,chair,theory-of-mind,,Detrás de la silla,,"chair
Final es-co & de translation review complete"
193,rug,theory-of-mind,,Debajo de la alfombra,,"rug
Final es-co & de translation review complete"
194,ToM-scene1-q2-reality_check,theory-of-mind,,¿Y dónde está realmente su libro?,,"ToM-scene1-q2-reality_check
Final es-co & de translation review complete"
195,ToM-scene2-instruct1,theory-of-mind,,"Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.",,"ToM-scene2-instruct1
Final es-co & de translation review complete"
196,ToM-scene2-instruct2,theory-of-mind,,"Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?",,"ToM-scene2-instruct2
Final es-co & de translation review complete"
197,ToM-scene2-instruct3,theory-of-mind,,"Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.",,"ToM-scene2-instruct3
Final es-co & de translation review complete"
198,ToM-scene2-q1-false_belief,theory-of-mind,,"Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?",,"ToM-scene2-q1-false_belief
Final es-co & de translation review complete"
199,shelf,theory-of-mind,,Sobre la repisa,,"shelf
Final es-co & de translation review complete"
200,coats,theory-of-mind,,Debajo de los abrigos,,"coats
Final es-co & de translation review complete"
201,ToM-scene2-instruct4,theory-of-mind,,"Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!",,"ToM-scene2-instruct4
Final es-co & de translation review complete"
202,ToM-scene2-q2-emotion_reasoning,theory-of-mind,,¿Cómo crees que se siente Ana cuando Elián coge ese libro?,,"ToM-scene2-q2-emotion_reasoning
Final es-co & de translation review complete"
203,ToM-scene2-q7-emotion_reasoning,theory-of-mind,,¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,,"ToM-scene2-q7-emotion_reasoning
"
204,ToM-scene2-q3-false_belief,theory-of-mind,,¿Elián está siendo malo y travieso al tomar el libro de Ana?,,"ToM-scene2-q3-false_belief
Final es-co & de translation review complete"
205,ToM-scene2-q4-false_belief,theory-of-mind,,¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,,"ToM-scene2-q4-false_belief
Final es-co & de translation review complete"
206,ToM-scene2-q5-reality_check,theory-of-mind,,¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,,"ToM-scene2-q5-reality_check
Final es-co & de translation review complete"
207,ToM-scene2-q6-reality_check,theory-of-mind,,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,,"ToM-scene2-q6-reality_check
Final es-co & de translation review complete"
208,ToM-scene3-instruct1,theory-of-mind,,"Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.",,"ToM-scene3-instruct1
Final es-co & de translation review complete"
209,ToM-scene3-instruct2,theory-of-mind,,"Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",,"ToM-scene3-instruct2
Final es-co & de translation review complete"
210,ToM-scene3-instruct3,theory-of-mind,,Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarle.,,"ToM-scene3-instruct3
Final es-co & de translation review complete"
211,ToM-scene3-instruct4,theory-of-mind,,"Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.",,"ToM-scene3-instruct4
Final es-co & de translation review complete"
212,ToM-scene3-q1,theory-of-mind,,¿Qué quería dibujar Johan?,,"ToM-scene3-q1
Final es-co & de translation review complete"
213,fountain,theory-of-mind,,Una fuente,,"fountain
Final es-co & de translation review complete"
214,tree,theory-of-mind,,Un árbol,,"tree
Final es-co & de translation review complete"
215,ToM-scene3-q2-false_belief,theory-of-mind,,"Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?",,"ToM-scene3-q2-false_belief
Final es-co & de translation review complete"
216,ToM-scene3-q2-reality_check,theory-of-mind,,¿Puedes ayudarles a encontrar dónde está realmente Johan?,,"ToM-scene3-q2-reality_check
Final es-co & de translation review complete"
217,behind-fountain,theory-of-mind,,Detrás de la fuente,,"behind-fountain
Final es-co & de translation review complete"
218,behind-tree,theory-of-mind,,Detrás del árbol,,"behind-tree
Final es-co & de translation review complete"
219,ToM-scene3-q3-emotion_reasoning,theory-of-mind,,"¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?",,"ToM-scene3-q3-emotion_reasoning
Final es-co & de translation review complete"
220,ToM-scene4-instruct1,theory-of-mind,,Ya se acabaron los juegos y es la hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,,"ToM-scene4-instruct1
Final es-co & de translation review complete"
221,ToM-scene4-instruct2,theory-of-mind,,"Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.",,"ToM-scene4-instruct2
Final es-co & de translation review complete"
222,ToM-scene4-q1-emotion_reasoning,theory-of-mind,,¿Cómo se siente Joshua al perder su camioneta?,,"ToM-scene4-q1-emotion_reasoning
Final es-co & de translation review complete"
223,ToM-scene4-q8-emotion_reasoning,theory-of-mind,,¿Cómo se sentiría Johan si encontrara su camión?,,"ToM-scene4-q8-emotion_reasoning
"
224,ToM-scene4-instruct3,theory-of-mind,,"Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.",,"ToM-scene4-instruct3
Final es-co & de translation review complete"
