,item_id,labels,en,es-CO,de,context
87,trog-item-24,trog,,,,"trog-item-24
"
88,trog-item-25,trog,,,,"trog-item-25
"
89,trog-item-26,trog,,,,"trog-item-26
"
90,trog-item-27,trog,,,,"trog-item-27
"
91,trog-item-28,trog,,,,"trog-item-28
"
92,trog-item-29,trog,,,,"trog-item-29
"
93,trog-item-30,trog,,,,"trog-item-30
"
94,trog-item-31,trog,,,,"trog-item-31
"
95,trog-item-32,trog,,,,"trog-item-32
"
96,trog-item-33,trog,,,,"trog-item-33
"
97,trog-item-34,trog,,,,"trog-item-34
"
98,trog-item-35,trog,,,,"trog-item-35
"
99,trog-item-36,trog,,,,"trog-item-36
"
100,trog-item-37,trog,,,,"trog-item-37
"
101,trog-item-38,trog,,,,"trog-item-38
"
102,trog-item-39,trog,,,,"trog-item-39
"
103,trog-item-40,trog,,,,"trog-item-40
"
104,trog-item-41,trog,,,,"trog-item-41
"
105,trog-item-42,trog,,,,"trog-item-42
"
106,trog-item-43,trog,,,,"trog-item-43
"
107,trog-item-44,trog,,,,"trog-item-44
"
108,trog-item-45,trog,,,,"trog-item-45
"
109,trog-item-46,trog,,,,"trog-item-46
"
110,trog-item-47,trog,,,,"trog-item-47
"
111,trog-item-48,trog,,,,"trog-item-48
"
112,trog-item-49,trog,,,,"trog-item-49
"
113,trog-item-50,trog,,,,"trog-item-50
"
114,trog-item-51,trog,,,,"trog-item-51
"
115,trog-item-52,trog,,,,"trog-item-52
"
116,trog-item-53,trog,,,,"trog-item-53
"
117,trog-item-54,trog,,,,"trog-item-54
"
118,trog-item-55,trog,,,,"trog-item-55
"
119,trog-item-56,trog,,,,"trog-item-56
"
120,trog-item-57,trog,,,,"trog-item-57
"
121,trog-item-58,trog,,,,"trog-item-58
"
122,trog-item-59,trog,,,,"trog-item-59
"
123,trog-item-60,trog,,,,"trog-item-60
"
124,trog-item-61,trog,,,,"trog-item-61
"
125,trog-item-62,trog,,,,"trog-item-62
"
126,trog-item-63,trog,,,,"trog-item-63
"
127,trog-item-64,trog,,,,"trog-item-64
"
128,trog-item-65,trog,,,,"trog-item-65
"
129,trog-item-66,trog,,,,"trog-item-66
"
130,trog-item-67,trog,,,,"trog-item-67
"
131,trog-item-68,trog,,,,"trog-item-68
"
132,trog-item-69,trog,,,,"trog-item-69
"
133,trog-item-70,trog,,,,"trog-item-70
"
134,trog-item-71,trog,,,,"trog-item-71
"
135,trog-item-72,trog,,,,"trog-item-72
"
136,trog-item-73,trog,,,,"trog-item-73
"
137,trog-item-74,trog,,,,"trog-item-74
"
138,trog-item-75,trog,,,,"trog-item-75
"
139,trog-item-76,trog,,,,"trog-item-76
"
140,trog-item-77,trog,,,,"trog-item-77
"
141,trog-item-78,trog,,,,"trog-item-78
"
142,trog-item-79,trog,,,,"trog-item-79
"
143,trog-item-80,trog,,,,"trog-item-80
"
144,trog-item-81,trog,,,,"trog-item-81
"
145,trog-item-82,trog,,,,"trog-item-82
"
146,trog-item-83,trog,,,,"trog-item-83
"
147,trog-item-84,trog,,,,"trog-item-84
"
148,trog-item-85,trog,,,,"trog-item-85
"
149,trog-item-86,trog,,,,"trog-item-86
"
150,trog-item-87,trog,,,,"trog-item-87
"
151,trog-item-88,trog,,,,"trog-item-88
"
152,trog-item-89,trog,,,,"trog-item-89
"
153,trog-item-90,trog,,,,"trog-item-90
"
154,trog-item-91,trog,,,,"trog-item-91
"
155,trog-item-92,trog,,,,"trog-item-92
"
156,trog-item-93,trog,,,,"trog-item-93
"
157,trog-item-94,trog,,,,"trog-item-94
"
158,trog-item-95,trog,,,,"trog-item-95
"
159,trog-item-96,trog,,,,"trog-item-96
"
160,trog-item-97,trog,,,,"trog-item-97
"
161,trog-item-98,trog,,,,"trog-item-98
"
162,trog-item-99,trog,,,,"trog-item-99
"
163,trog-item-100,trog,,,,"trog-item-100
"
164,trog-item-101,trog,,,,"trog-item-101
"
165,trog-item-102,trog,,,,"trog-item-102
"
166,trog-item-103,trog,,,,"trog-item-103
"
167,ToM-scene1-instruct1,theory-of-mind,,,,"ToM-scene1-instruct1
"
168,ToM-scene1-instruct2,theory-of-mind,,,,"ToM-scene1-instruct2
"
169,ToM-scene1-instruct3,theory-of-mind,,,,"ToM-scene1-instruct3
"
170,ToM-scene1-q1-false_belief,theory-of-mind,,,,"ToM-scene1-q1-false_belief
Feel free to offer child names that would make sense to German children if the English ones wouldn't.... "
171,ToM-scene1-q2-reality_check,theory-of-mind,,,,"ToM-scene1-q2-reality_check
"
172,ToM-scene1-q3-emotion_reasoning,theory-of-mind,,,,"ToM-scene1-q3-emotion_reasoning
"
173,ToM-scene2-instruct1,theory-of-mind,,,,"ToM-scene2-instruct1
"
174,ToM-scene2-instruct2,theory-of-mind,,,,"ToM-scene2-instruct2
"
175,ToM-scene2-instruct3,theory-of-mind,,,,"ToM-scene2-instruct3
"
176,ToM-scene2-q1-false_belief,theory-of-mind,,,,"ToM-scene2-q1-false_belief
"
177,ToM-scene2-instruct4,theory-of-mind,,,,"ToM-scene2-instruct4
"
178,shelf,theory-of-mind,,,,"shelf
"
179,coats,theory-of-mind,,,,"coats
"
180,ToM-scene2-q2-emotion_reasoning,theory-of-mind,,,,"ToM-scene2-q2-emotion_reasoning
"
181,ToM-scene2-q3-false_belief,theory-of-mind,,,,"ToM-scene2-q3-false_belief
"
182,ToM-scene2-q4-false_belief,theory-of-mind,,,,"ToM-scene2-q4-false_belief
"
183,ToM-scene2-q5-reality_check,theory-of-mind,,,,"ToM-scene2-q5-reality_check
"
184,ToM-scene2-q6-reality_check,theory-of-mind,,,,"ToM-scene2-q6-reality_check
"
185,ToM-scene3-instruct1,theory-of-mind,,,,"ToM-scene3-instruct1
"
186,ToM-scene3-instruct2,theory-of-mind,,,,"ToM-scene3-instruct2
"
187,ToM-scene3-instruct3,theory-of-mind,,,,"ToM-scene3-instruct3
"
188,ToM-scene3-instruct4,theory-of-mind,,,,"ToM-scene3-instruct4
"
189,ToM-scene3-q1,theory-of-mind,,,,"ToM-scene3-q1
"
190,ToM-scene3-q2-false_belief,theory-of-mind,,,,"ToM-scene3-q2-false_belief
"
191,ToM-scene3-q2-reality_check,theory-of-mind,,,,"ToM-scene3-q2-reality_check
"
192,ToM-scene3-q3-emotion_reasoning,theory-of-mind,,,,"ToM-scene3-q3-emotion_reasoning
"
193,ToM-scene4-instruct1,theory-of-mind,,,,"ToM-scene4-instruct1
"
194,ToM-scene4-instruct2,theory-of-mind,,,,"ToM-scene4-instruct2
"
195,ToM-scene4-q1-emotion_reasoning,theory-of-mind,,,,"ToM-scene4-q1-emotion_reasoning
"
196,ToM-scene4-instruct3,theory-of-mind,,,,"ToM-scene4-instruct3
"
197,ToM-scene4-instruct4,theory-of-mind,,,,"ToM-scene4-instruct4
"
198,ToM-scene4-q2,theory-of-mind,,,,"ToM-scene4-q2
"
199,ToM-scene4-q3,theory-of-mind,,,,"ToM-scene4-q3
"
200,ToM-scene4-q4-false_belief,theory-of-mind,,,,"ToM-scene4-q4-false_belief
"
201,ToM-scene4-instruct5,theory-of-mind,,,,"ToM-scene4-instruct5
"
202,ToM-scene4-q5,theory-of-mind,,,,"ToM-scene4-q5
"
203,ToM-scene4-q6,theory-of-mind,,,,"ToM-scene4-q6
"
204,ToM-scene4-q7,theory-of-mind,,,,"ToM-scene4-q7
"
205,ToM-scene4-instruct6,theory-of-mind,,,,"ToM-scene4-instruct6
"
206,ToM-scene5-instruct1,theory-of-mind,,,,"ToM-scene5-instruct1
"
207,ToM-scene5-instruct2,theory-of-mind,,,,"ToM-scene5-instruct2
"
208,ToM-scene5-q1,theory-of-mind,,,,"ToM-scene5-q1
"
209,ToM-scene5-q2-reality_check,theory-of-mind,,,,"ToM-scene5-q2-reality_check
"
210,ToM-scene6-instruct1,theory-of-mind,,,,"ToM-scene6-instruct1
"
211,ToM-scene6-instruct2,theory-of-mind,,,,"ToM-scene6-instruct2
"
212,ToM-scene6-q1,theory-of-mind,,,,"ToM-scene6-q1
"
213,ToM-scene6-instruct3,theory-of-mind,,,,"ToM-scene6-instruct3
"
214,ToM-scene6-q2,theory-of-mind,,,,"ToM-scene6-q2
"
215,ToM-scene6-q3,theory-of-mind,,,,"ToM-scene6-q3
"
216,ToM-scene6-instruct4,theory-of-mind,,,,"ToM-scene6-instruct4
"
217,ToM-scene6-q4,theory-of-mind,,,,"ToM-scene6-q4
"
218,ToM-scene6-instruct5,theory-of-mind,,,,"ToM-scene6-instruct5
"
219,ToM-scene6-q5,theory-of-mind,,,,"ToM-scene6-q5
"
220,ToM-scene6-q6,theory-of-mind,,,,"ToM-scene6-q6
"
221,hostile-attribution-scene1-instruct1,hostile-attribution,,,,"hostile-attribution-scene1-instruct1
"
222,hostile-attribution-scene1-instruct2,hostile-attribution,,,,"hostile-attribution-scene1-instruct2
"
223,hostile-attribution-scene1-q1,hostile-attribution,,,,"hostile-attribution-scene1-q1
"
224,hostile-attribution-scene1-q2,hostile-attribution,,,,"hostile-attribution-scene1-q2
"
225,hostile-attribution-scene1-q2-ans1,hostile-attribution,,,,"hostile-attribution-scene1-q2-ans1
"
226,hostile-attribution-scene1-q2-ans2,hostile-attribution,,,,"hostile-attribution-scene1-q2-ans2
"
227,hostile-attribution-scene1-q2-ans3,hostile-attribution,,,,"hostile-attribution-scene1-q2-ans3
"
228,hostile-attribution-scene2-instruct1,hostile-attribution,,,,"hostile-attribution-scene2-instruct1
"
229,hostile-attribution-scene2-instruct2,hostile-attribution,,,,"hostile-attribution-scene2-instruct2
"
230,hostile-attribution-scene2-q1,hostile-attribution,,,,"hostile-attribution-scene2-q1
"
231,hostile-attribution-scene2-q2,hostile-attribution,,,,"hostile-attribution-scene2-q2
"
232,hostile-attribution-scene2-q2-ans1,hostile-attribution,,,,"hostile-attribution-scene2-q2-ans1
"
233,hostile-attribution-scene2-q2-ans2,hostile-attribution,,,,"hostile-attribution-scene2-q2-ans2
"
234,hostile-attribution-scene2-q2-ans3,hostile-attribution,,,,"hostile-attribution-scene2-q2-ans3
"
235,hostile-attribution-scene3-instruct1,hostile-attribution,,,,"hostile-attribution-scene3-instruct1
"
236,hostile-attribution-scene3-instruct2,hostile-attribution,,,,"hostile-attribution-scene3-instruct2
"
237,hostile-attribution-scene3-instruct3,hostile-attribution,,,,"hostile-attribution-scene3-instruct3
"
238,hostile-attribution-scene3-q1,hostile-attribution,,,,"hostile-attribution-scene3-q1
"
239,hostile-attribution-scene3-q2,hostile-attribution,,,,"hostile-attribution-scene3-q2
"
240,hostile-attribution-scene3-q2-ans1,hostile-attribution,,,,"hostile-attribution-scene3-q2-ans1
"
241,hostile-attribution-scene3-q2-ans2,hostile-attribution,,,,"hostile-attribution-scene3-q2-ans2
"
242,hostile-attribution-scene3-q2-ans3,hostile-attribution,,,,"hostile-attribution-scene3-q2-ans3
"
243,same-different-selection-touch-circle,same-different-selection,,,,"same-different-selection-touch-circle
"
244,same-different-selection-touch-square,same-different-selection,,,,"same-different-selection-touch-square
"
245,same-different-selection-touch-triangle,same-different-selection,,,,"same-different-selection-touch-triangle
"
246,same-different-selection-touch-green,same-different-selection,,,,"same-different-selection-touch-green
"
247,same-different-selection-touch-red,same-different-selection,,,,"same-different-selection-touch-red
"
248,same-different-selection-touch-blue,same-different-selection,,,,"same-different-selection-touch-blue
"
249,same-different-selection-touch-small,same-different-selection,,,,"same-different-selection-touch-small
"
250,same-different-selection-touch-medium,same-different-selection,,,,"same-different-selection-touch-medium
"
251,same-different-selection-touch-large,same-different-selection,,,,"same-different-selection-touch-large
"
252,same-different-selection-both-circles,same-different-selection,,,,"same-different-selection-both-circles
"
253,same-different-selection-both-squares,same-different-selection,,,,"same-different-selection-both-squares
"
254,same-different-selection-both-triangles,same-different-selection,,,,"same-different-selection-both-triangles
"
255,same-different-selection-both-red,same-different-selection,,,,"same-different-selection-both-red
"
256,same-different-selection-both-green,same-different-selection,,,,"same-different-selection-both-green
"
257,same-different-selection-both-blue,same-different-selection,,,,"same-different-selection-both-blue
"
258,same-different-selection-both-small,same-different-selection,,,,"same-different-selection-both-small
"
259,same-different-selection-both-medium,same-different-selection,,,,"same-different-selection-both-medium
"
260,same-different-selection-both-large,same-different-selection,,,,"same-different-selection-both-large
"
261,sds-prompt3,same-different-selection,,,,"sds-prompt3
"
262,sds-2match-prompt1,same-different-selection,,,,"sds-2match-prompt1
"
263,sds-2match-prompt2,same-different-selection,,,,"sds-2match-prompt2
"
264,sds-3match-prompt1,same-different-selection,,,,"sds-3match-prompt1
"
265,sds-3match-prompt2,same-different-selection,,,,"sds-3match-prompt2
"
266,sds-3unique-prompt1,same-different-selection,,,,"sds-3unique-prompt1
"
267,sds-3unique-prompt2,same-different-selection,,,,"sds-3unique-prompt2
"
268,memory-game-instruct1,memory-game,,,,"memory-game-instruct1
"
269,memory-game-instruct2,memory-game,,,,"memory-game-instruct2
"
270,memory-game-instruct3,memory-game,,,,"memory-game-instruct3
"
271,memory-game-instruct4,memory-game,,,,"memory-game-instruct4
"
272,memory-game-prompt1,memory-game,,,,"memory-game-prompt1
"
273,memory-game-forward-prompt,memory-game,,,,"memory-game-forward-prompt
"
274,memory-game-instruct5,memory-game,,,,"memory-game-instruct5
"
275,memory-game-instruct6,memory-game,,,,"memory-game-instruct6
"
276,memory-game-instruct7,memory-game,,,,"memory-game-instruct7
"
277,memory-game-backward-prompt,memory-game,,,,"memory-game-backward-prompt
"
278,heart-instruct1,hearts-and-flowers,,,,"heart-instruct1
"
279,heart-instruct2,hearts-and-flowers,,,,"heart-instruct2
"
280,hearts-and-flowers-try-again,hearts-and-flowers,,,,"hearts-and-flowers-try-again
"
281,heart-practice-feedback1,hearts-and-flowers,,,,"heart-practice-feedback1
"
282,hearts-and-flowers-practice-time,hearts-and-flowers,,,,"hearts-and-flowers-practice-time
"
283,heart-practice-feedback2,hearts-and-flowers,,,,"heart-practice-feedback2
"
284,hearts-and-flowers-instruct1,hearts-and-flowers,,,,"hearts-and-flowers-instruct1
"
285,hearts-and-flowers-instruct2,hearts-and-flowers,,,,"hearts-and-flowers-instruct2
"
286,hearts-and-flowers-play-time,hearts-and-flowers,,,,"hearts-and-flowers-play-time
"
287,flower-instruct1,hearts-and-flowers,,,,"flower-instruct1
"
288,flower-instruct2,hearts-and-flowers,,,,"flower-instruct2
"
289,flower-practice-feedback1,hearts-and-flowers,,,,"flower-practice-feedback1
"
290,flower-practice-feedback2,hearts-and-flowers,,,,"flower-practice-feedback2
"
291,hearts-and-flowers-instruct3,hearts-and-flowers,,,,"hearts-and-flowers-instruct3
"
292,continue-button-text,general,,,,"continue-button-text
"
293,close-button-text,general,,,,"close-button-text
"
294,hearts-and-flowers-encourage1,hearts-and-flowers,,,,"hearts-and-flowers-encourage1
"
295,hearts-and-flowers-encourage2,hearts-and-flowers,,,,"hearts-and-flowers-encourage2
"
296,hearts-and-flowers-end,hearts-and-flowers,,,,"hearts-and-flowers-end
"
297,vocab-item-001,vocab,,,,"vocab-item-001
"
298,vocab-item-002,vocab,,,,"vocab-item-002
"
299,vocab-item-003,vocab,,,,"vocab-item-003
"
300,vocab-item-004,vocab,,,,"vocab-item-004
"
301,vocab-item-005,vocab,,,,"vocab-item-005
"
302,vocab-item-006,vocab,,,,"vocab-item-006
"
303,vocab-item-007,vocab,,,,"vocab-item-007
"
304,vocab-item-008,vocab,,,,"vocab-item-008
"
305,vocab-item-009,vocab,,,,"vocab-item-009
"
306,vocab-item-010,vocab,,,,"vocab-item-010
"
307,vocab-item-011,vocab,,,,"vocab-item-011
"
308,vocab-item-012,vocab,,,,"vocab-item-012
"
309,vocab-item-013,vocab,,,,"vocab-item-013
"
310,vocab-item-014,vocab,,,,"vocab-item-014
"
311,vocab-item-015,vocab,,,,"vocab-item-015
"
312,vocab-item-016,vocab,,,,"vocab-item-016
"
313,vocab-item-017,vocab,,,,"vocab-item-017
"
314,vocab-item-018,vocab,,,,"vocab-item-018
"
315,vocab-item-019,vocab,,,,"vocab-item-019
"
316,vocab-item-020,vocab,,,,"vocab-item-020
"
317,vocab-item-021,vocab,,,,"vocab-item-021
"
318,vocab-item-022,vocab,,,,"vocab-item-022
"
319,vocab-item-023,vocab,,,,"vocab-item-023
"
320,vocab-item-024,vocab,,,,"vocab-item-024
"
321,vocab-item-025,vocab,,,,"vocab-item-025
"
322,vocab-item-026,vocab,,,,"vocab-item-026
"
323,vocab-item-027,vocab,,,,"vocab-item-027
"
324,vocab-item-028,vocab,,,,"vocab-item-028
"
325,vocab-item-029,vocab,,,,"vocab-item-029
"
326,vocab-item-030,vocab,,,,"vocab-item-030
"
327,vocab-item-031,vocab,,,,"vocab-item-031
"
328,vocab-item-032,vocab,,,,"vocab-item-032
"
329,vocab-item-033,vocab,,,,"vocab-item-033
"
330,vocab-item-034,vocab,,,,"vocab-item-034
"
331,vocab-item-035,vocab,,,,"vocab-item-035
"
332,vocab-item-036,vocab,,,,"vocab-item-036
"
333,vocab-item-037,vocab,,,,"vocab-item-037
"
334,vocab-item-038,vocab,,,,"vocab-item-038
"
335,vocab-item-039,vocab,,,,"vocab-item-039
"
336,vocab-item-040,vocab,,,,"vocab-item-040
"
337,vocab-item-041,vocab,,,,"vocab-item-041
"
338,vocab-item-042,vocab,,,,"vocab-item-042
"
339,vocab-item-043,vocab,,,,"vocab-item-043
"
340,vocab-item-044,vocab,,,,"vocab-item-044
"
341,vocab-item-045,vocab,,,,"vocab-item-045
"
342,vocab-item-046,vocab,,,,"vocab-item-046
"
343,vocab-item-047,vocab,,,,"vocab-item-047
"
344,vocab-item-048,vocab,,,,"vocab-item-048
"
345,vocab-item-049,vocab,,,,"vocab-item-049
"
346,vocab-item-050,vocab,,,,"vocab-item-050
"
347,vocab-item-051,vocab,,,,"vocab-item-051
"
348,vocab-item-052,vocab,,,,"vocab-item-052
"
349,vocab-item-053,vocab,,,,"vocab-item-053
"
350,vocab-item-054,vocab,,,,"vocab-item-054
"
351,vocab-item-055,vocab,,,,"vocab-item-055
"
352,vocab-item-056,vocab,,,,"vocab-item-056
"
353,vocab-item-057,vocab,,,,"vocab-item-057
"
354,vocab-item-058,vocab,,,,"vocab-item-058
"
355,vocab-item-059,vocab,,,,"vocab-item-059
"
356,vocab-item-060,vocab,,,,"vocab-item-060
"
357,vocab-item-061,vocab,,,,"vocab-item-061
"
358,vocab-item-062,vocab,,,,"vocab-item-062
"
359,vocab-item-063,vocab,,,,"vocab-item-063
"
360,vocab-item-064,vocab,,,,"vocab-item-064
"
361,vocab-item-065,vocab,,,,"vocab-item-065
"
362,vocab-item-066,vocab,,,,"vocab-item-066
"
363,vocab-item-067,vocab,,,,"vocab-item-067
"
364,vocab-item-068,vocab,,,,"vocab-item-068
"
365,vocab-item-069,vocab,,,,"vocab-item-069
"
366,vocab-item-070,vocab,,,,"vocab-item-070
"
367,vocab-item-071,vocab,,,,"vocab-item-071
"
368,vocab-item-072,vocab,,,,"vocab-item-072
"
369,vocab-item-073,vocab,,,,"vocab-item-073
"
370,vocab-item-074,vocab,,,,"vocab-item-074
"
371,vocab-item-075,vocab,,,,"vocab-item-075
"
372,vocab-item-076,vocab,,,,"vocab-item-076
"
373,vocab-item-077,vocab,,,,"vocab-item-077
"
374,vocab-item-078,vocab,,,,"vocab-item-078
"
375,vocab-item-079,vocab,,,,"vocab-item-079
"
376,vocab-item-080,vocab,,,,"vocab-item-080
"
377,vocab-item-081,vocab,,,,"vocab-item-081
"
378,vocab-item-082,vocab,,,,"vocab-item-082
"
