identifier,labels,text,es-CO,de,context
same-different-selection-prompt1,same-different-selection,Here is another picture. Which of these is the same as this one?,Aquí hay otra figura. ¿Cuál de las anteriores tiene algo en común con esta nueva figura?,Hier ist ein weiteres Bild. Welches davon ist dasselbe wie dieses?,"same-different-selection-prompt1

Sheet: translation-items-v1"
same-different-selection-prompt2,same-different-selection,Choose two pictures that are the same.,Escoge dos imágenes que tengan algo en común.,"Wähle zwei Bilder aus, die gleich sind.","same-different-selection-prompt2

Sheet: translation-items-v1"
same-different-selection-prompt3,same-different-selection,Choose two pictures that are the same in a different way.,"Escoge dos imágenes que tengan algo en común, pero con diferente forma.","Wähle zwei Bilder, die gleich sind, aber Unterschiede aufweisen.","same-different-selection-prompt3
For example: the boy is standing on a chair (when there is another picture with a boy standing on two chairs too). So, in this case in German it would be that the picture is the same but showing some differences. 
RESPONSE: Ah, so these instructions are for a different task (not TROG).
This is the description of the task in this line: This task measures set shifting. Children are shown two pictures that are similar along one dimension (content, color, or size) and verbal told the dimension of similarity. Next, children see the same two pictures plus a new third picture. The third picture is similar to one of the first two pictures along a dimension that is different from that of the first two pictures (e.g., if the first two pictures were similar along the dimension of shape, the third picture would be similar to one of the first two pictures along the dimension of color or size). Children are asked to choose which of the two original pictures is the same as the new third picture. https://hs-levante-assessment-dev.web.app/?task=same-different-selection  - Ok, then this is also the right translation I chose. 

Sheet: translation-items-v1"
shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","shared-intro-devices

Sheet: translation-items-v1"
shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","shared-choose-picture-press-arrow

Sheet: translation-items-v1"
shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,"shared-intro-replay

Sheet: translation-items-v1"
trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","trog-instr1-matching

Sheet: translation-items-v1"
trog-item-1,trog,Choose the picture of the shoe.,Elige la imagen del zapato.,Wähle das Bild mit dem Schuh.,"trog-item-1

Sheet: translation-items-v1"
trog-item-2,trog,Choose the picture of the bird.,Elige la imagen del pájaro.,Wähle das Bild mit dem Vogel.,"trog-item-2

Sheet: translation-items-v1"
trog-item-3,trog,Choose the picture of the comb.,Elige la imagen del peine.,Wähle das Bild mit dem Kamm.,"trog-item-3

Sheet: translation-items-v1"
trog-item-4,trog,Choose the picture of the apple.,Elige la imagen de la manzana.,Wähle das Bild mit dem Apfel.,"trog-item-4

Sheet: translation-items-v1"
trog-item-5,trog,Choose the picture that shows eating.,Elige la imagen que muestra comiendo.,"Wähle das Bild aus, das zeigt, wie jemand isst.","trog-item-5

Sheet: translation-items-v1"
trog-item-6,trog,Choose the picture that shows picking.,Elige la imagen que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand pflückt.","trog-item-6

Sheet: translation-items-v1"
trog-item-7,trog,Choose the picture that shows sitting.,Elige la imagen que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.","trog-item-7

Sheet: translation-items-v1"
trog-item-8,trog,Choose the picture that shows running.,Elige la imagen que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand läuft.","trog-item-8

Sheet: translation-items-v1"
trog-item-9,trog,Choose the picture that shows long.,Elige la imagen que muestra largo.,"Wähle das Bild aus, das etwas langes zeigt.","trog-item-9

Sheet: translation-items-v1"
trog-item-10,trog,Choose the picture that shows tall.,Elige la imagen que muestra alto.,"Wähle das Bild aus, das etwas großes zeigt.","trog-item-10

Sheet: translation-items-v1"
trog-item-11,trog,Choose the picture that shows red.,Elige la imagen que muestra el rojo.,"Wähle das Bild aus, das etwas rotes zeigt.","trog-item-11

Sheet: translation-items-v1"
trog-item-12,trog,Choose the picture that shows black.,Elige la imagen que muestra el negro.,"Wähle das Bild aus, das etwas schwarzes zeigt.","trog-item-12

Sheet: translation-items-v1"
trog-item-13,trog,the boy is running,el niño está corriendo,der Junge rennt.,"trog-item-13

Sheet: translation-items-v1"
trog-item-14,trog,the big cup,la taza grande,die große Tasse.,"trog-item-14

Sheet: translation-items-v1"
trog-item-15,trog,the dog is sitting,el perro está sentado,der Hund sitzt.,"trog-item-15

Sheet: translation-items-v1"
trog-item-16,trog,the red ball,la pelota roja,der rote Ball.,"trog-item-16

Sheet: translation-items-v1"
trog-item-17,trog,the boy is not running,el niño no está corriendo,der Junge rennt nicht.,"trog-item-17

Sheet: translation-items-v1"
trog-item-18,trog,the dog is not drinking,el perro no está bebiendo,der Hund trinkt nicht.,"trog-item-18

Sheet: translation-items-v1"
trog-item-19,trog,the girl is not jumping,la niña no está saltando,das Mädchen hüpft nicht.,"trog-item-19

Sheet: translation-items-v1"
trog-item-20,trog,the dog is not sitting,el perro no está sentado,der Hund sitzt nicht.,"trog-item-20

Sheet: translation-items-v1"
trog-item-21,trog,the boy is jumping over the box,el niño salta por encima de la caja,der Junge springt über den Kasten. ,"trog-item-21

Sheet: translation-items-v1"
trog-item-22,trog,the girl is sitting on the table,la niña está sentada encima de la mesa,das Mädchen sitzt auf dem Tisch.,"trog-item-22

Sheet: translation-items-v1"
trog-item-23,trog,the man is eating the apple,el hombre se está comiendo una manzana,der Mann ißt einen Apfel.,"trog-item-23

Sheet: translation-items-v1"
trog-item-24,trog,the lady is carrying the bag,la señora está llevando la bolsa,die Frau trägt eine Tasche.,"trog-item-24

Sheet: translation-items-v1"
trog-item-25,trog,they are sitting on the table,están sentadas encima de la mesa,sie sitzen auf dem Tisch.,"trog-item-25

Sheet: translation-items-v1"
trog-item-26,trog,the cow is looking at them,la vaca está mirándolas,die Kuh sieht sie an.,"trog-item-26

Sheet: translation-items-v1"
trog-item-27,trog,they are jumping over the wall,están saltando por encima de la pared,sie springen über die Mauer.,"trog-item-27

Sheet: translation-items-v1"
trog-item-28,trog,the elephant is carrying them,el elefante está llevandolos,der Elefant trägt sie,"trog-item-28

Sheet: translation-items-v1"
trog-item-29,trog,the girl is pushing the horse,la niña está empujando al caballo,das Mädchen schiebt das Pferd,"trog-item-29

Sheet: translation-items-v1"
trog-item-30,trog,the boy is chasing the sheep,el niño persigue a la oveja,der Junge jagt das Schaf,"trog-item-30

Sheet: translation-items-v1"
trog-item-31,trog,the man is chasing the dog,el hombre persigue al perro,der Mann jagt den Hund,"trog-item-31

Sheet: translation-items-v1"
trog-item-32,trog,the cow is pushing the lady,la vaca está empujando a la señora,die Kuh schiebt die Dame,"trog-item-32

Sheet: translation-items-v1"
trog-item-33,trog,she is sitting on the chair,ella está sentada en la silla,sie sitzt auf dem Stuhl.,"trog-item-33

Sheet: translation-items-v1"
trog-item-34,trog,the lady is carrying him,la señora lo está cargando,die Dame trägt ihn,"trog-item-34

Sheet: translation-items-v1"
trog-item-35,trog,he is sitting in the tree,él está sentado en el árbol,er sitzt auf dem Baum,"trog-item-35

Sheet: translation-items-v1"
trog-item-36,trog,the horse is looking at her,el caballo la está mirando,das Pferd sieht sie an,"trog-item-36

Sheet: translation-items-v1"
trog-item-37,trog,the cats look at the ball,los gatos miran la pelota,die Katzen schauen auf den Ball,"trog-item-37

Sheet: translation-items-v1"
trog-item-38,trog,the boy stands on the chairs,el niño se para encima de las sillas,der Junge steht auf den Stühlen,"trog-item-38

Sheet: translation-items-v1"
trog-item-39,trog,the boys pick the apples,los niños recogen las manzanas,die Jungen pflücken die Äpfel,"trog-item-39

Sheet: translation-items-v1"
trog-item-40,trog,the girl drops the cups,la niña deja caer las tazas,das Mädchen lässt die Tassen fallen,"trog-item-40

Sheet: translation-items-v1"
trog-item-41,trog,the fork is longer than the pencil,el tenedor es más largo que el lápiz,die Gabel ist länger als der Bleistift,"trog-item-41

Sheet: translation-items-v1"
trog-item-42,trog,the box is bigger than the cup,la caja es más grande que la taza,die Schchtel ist größer als die Tasse,"trog-item-42

Sheet: translation-items-v1"
trog-item-43,trog,the shoe is bigger than the bird,el zapato es más grande que el pájaro,der Schuh ist größer als der Vogel,"trog-item-43

Sheet: translation-items-v1"
trog-item-44,trog,the horse is taller than the wall,el caballo es más alto que la pared,das Pferd ist größer als die Mauer,"trog-item-44

Sheet: translation-items-v1"
trog-item-45,trog,the girl is chased by the horse,la niña es perseguida por el caballo,das Mädchen wird vom Pferd gejagt,"trog-item-45

Sheet: translation-items-v1"
trog-item-46,trog,the elephant is pushed by the boy,el elefante es empujado por el niño,der Elefant wird von dem Jungen geschoben,"trog-item-46

Sheet: translation-items-v1"
trog-item-47,trog,the horse is chased by the man,el caballo es perseguido por el hombre,das Pferd wird von dem Mann gejagt,"trog-item-47

Sheet: translation-items-v1"
trog-item-48,trog,the cow is pushed by the man,la vaca es empujada por el hombre,die Kuh wird von dem Mann geschoben,"trog-item-48

Sheet: translation-items-v1"
trog-item-49,trog,the cup is in the box,la taza está en la caja,die Tasse ist in der Schachtel,"trog-item-49

Sheet: translation-items-v1"
trog-item-50,trog,the pencil is on the box,el lápiz está encima de la caja,der Bleistift ist auf der Schachtel,"trog-item-50

Sheet: translation-items-v1"
trog-item-51,trog,the circle is in the star,el círculo está en la estrella,der Kreis ist im Stern,"trog-item-51

Sheet: translation-items-v1"
trog-item-52,trog,the fork is on the shoe,el tenedor está encima del zapato,die Gabel ist auf dem Schuh,"trog-item-52

Sheet: translation-items-v1"
trog-item-53,trog,the boy chasing the horse is tall,el niño que persigue al caballo es alto,"der Junge, der das Pferd jagt, ist groß","trog-item-53

Sheet: translation-items-v1"
trog-item-54,trog,the pencil on the shoe is blue,el lápiz encima del zapato es azul,der Bleistift auf dem Schuh ist blau,"trog-item-54

Sheet: translation-items-v1"
trog-item-55,trog,the cow chasing the cat is brown,la vaca que persigue al gato es marrón,"die Kuh, die die Katze jagt, ist braun","trog-item-55

Sheet: translation-items-v1"
trog-item-56,trog,the circle in the star is yellow,el círculo en la estrella es amarillo,der Kreis im Stern ist gelb,"trog-item-56

Sheet: translation-items-v1"
trog-item-57,trog,the box but not the chair is red,"la caja es roja, pero no la silla","die Schachtel, aber nicht der Stuhl ist rot","trog-item-57

Sheet: translation-items-v1"
trog-item-58,trog,the cat is big but not black,el gato es grande pero no negro,"die Katze ist groß, aber nicht schwarz","trog-item-58

Sheet: translation-items-v1"
trog-item-59,trog,the horse but not the boy is standing,"el caballo está parado, pero no el niño","das Pferd, aber nicht der Junge, steht","trog-item-59

Sheet: translation-items-v1"
trog-item-60,trog,the boy is sitting but not eating,"el niño está sentado, pero no está comiendo","der Junge sitzt, aber er isst nicht","trog-item-60

Sheet: translation-items-v1"
trog-item-61,trog,the pencil is above the flower,el lápiz está arriba de la flor,der Bleistift ist über der Blume,"trog-item-61

Sheet: translation-items-v1"
trog-item-62,trog,the comb is below the spoon,el peine está debajo de la cuchara,der Kamm ist unter dem Löffel,"trog-item-62

Sheet: translation-items-v1"
trog-item-63,trog,the star is above the circle,la estrella está encima del círculo,der Stern ist über dem Kreis,"trog-item-63

Sheet: translation-items-v1"
trog-item-64,trog,the square is below the star,el cuadrado está debajo de la estrella,das Quadrat ist unter dem Stern,"trog-item-64

Sheet: translation-items-v1"
trog-item-65,trog,not only the bird but also the flower is blue,"no sólo el pájaro, también la flor es azul.","nicht nur der Vogel, sondern auch die Blume ist blau","trog-item-65

Sheet: translation-items-v1"
trog-item-66,trog,the box is not only big but also blue,"la caja no sólo es grande, sino también azul","die Box ist nicht nur groß, sondern auch blau","trog-item-66

Sheet: translation-items-v1"
trog-item-67,trog,not only the girl but also the cat is sitting,"no sólo la niña, también el gato está sentado.","nicht nur das Mädchen, sondern auch die Katze sitzt","trog-item-67

Sheet: translation-items-v1"
trog-item-68,trog,the girl has not only food but also a drink,"la niña no solo tiene comida, sino también bebida","das Mädchen hat nicht nur Essen, sondern auch ein Getränk","trog-item-68

Sheet: translation-items-v1"
trog-item-69,trog,the pencil is on the book that is yellow,el lápiz está encima del libro que es amarillo,"der Bleistift ist auf dem Buch, das gelb ist","trog-item-69

Sheet: translation-items-v1"
trog-item-70,trog,the girl chases the dog that is big,la niña persigue al perro que es grande,"das Mädchen jagt den Hund, der groß ist","trog-item-70

Sheet: translation-items-v1"
trog-item-71,trog,the square is in the star that is blue,el cuadrado está en la estrella que es azul,"das Quadrat ist in dem Stern, der blau ist","trog-item-71

Sheet: translation-items-v1"
trog-item-72,trog,the dog chases the horse that is brown,el perro persigue al caballo que es marrón,"der Hund jagt das Pferd, das braun ist","trog-item-72

Sheet: translation-items-v1"
trog-item-73,trog,neither the dog nor the ball is brown,ni el perro ni la pelota son marrones,weder der Hund noch der Ball sind braun,"trog-item-73

Sheet: translation-items-v1"
trog-item-74,trog,the pencil is neither long nor red,el lápiz no es largo ni rojo,der Bleistift ist weder lang noch rot,"trog-item-74

Sheet: translation-items-v1"
trog-item-75,trog,neither the boy nor the horse is running,ni el niño ni el caballo están corriendo,weder der Junge noch das Pferd rennt,"trog-item-75

Sheet: translation-items-v1"
trog-item-76,trog,the boy has neither hat nor shoes,el niño no tiene ni sombrero ni zapatos,der Junge hat weder Hut noch Schuhe,"trog-item-76

Sheet: translation-items-v1"
trog-item-77,trog,the book the pencil is on is red,"el libro, sobre el que está el lápiz, es rojo","das Buch, auf dem der Bleistift liegt, ist rot","trog-item-77

Sheet: translation-items-v1"
trog-item-78,trog,the cat the cow chases is black,el gato que la vaca persigue es negro,"die Katze, die die Kuh jagt, ist schwarz","trog-item-78

Sheet: translation-items-v1"
trog-item-79,trog,the circle the star is in is red,"el círculo, en el que está la estrella, es rojo","der Kreis, in dem sich der Stern befindet, ist rot","trog-item-79

Sheet: translation-items-v1"
trog-item-80,trog,the boy the dog chases is big,el niño que el perro persigue es grande,"der Junge, den der Hund jagt, ist groß","trog-item-80

Sheet: translation-items-v1"
trog-item-81,trog,the horse drank water by the barn and the sheep ate grass by the fence,"el caballo bebe agua junto al granero, y la oveja come pasto junto a la cerca",das Pferd trank Wasser bei der Scheune und die Schafe fraßen Gras am Zaun,"trog-item-81

Sheet: translation-items-v1"
trog-item-82,trog,the student opened the notebook and drew a tree,el estudiante abre el cuaderno y dibuja un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,"trog-item-82

Sheet: translation-items-v1"
trog-item-83,trog,we will have a picnic in the park if it is sunny,"Si hace sol, haremos un picnic en el parque","Wenn es sonnig ist, werden wir im Park ein Picknick machen.","trog-item-83

Sheet: translation-items-v1"
trog-item-84,trog,he found his keys under the couch with the pillows,encontró sus llaves debajo del sofá con cojines,er fand seine Schlüssel unter der Couch mit den Kissen,"trog-item-84

Sheet: translation-items-v1"
trog-item-85,trog,she is the gardener who wears the hat that has a flower,ella es la jardinera que usa un sombrero que tiene una flor,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt","trog-item-85

Sheet: translation-items-v1"
trog-item-86,trog,She tripped on a rock and dropped her books.,Ella tropezó con una piedra y dejo caer sus libros.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,"trog-item-86

Sheet: translation-items-v1"
trog-item-87,trog,The teacher will give the students cake if they stand in a line.,"La maestra dará pastel a los estudiantes, si se ponen en fila.","Der Lehrer gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.","trog-item-87

Sheet: translation-items-v1"
trog-item-88,trog,We will dance together if there is music playing.,"Si hay música sonando, bailaremos todos juntos.","Wir tanzen zusammen, wenn Musik läuft.","trog-item-88

Sheet: translation-items-v1"
trog-item-89,trog,"Although it is hot outside, I am wearing a jacket with a hood.","Aunque hace calor afuera, estoy usando una chaqueta con capucha.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.","trog-item-89

Sheet: translation-items-v1"
trog-item-90,trog,"He likes swimming, however, he chose to play soccer with his friends.","Él prefiere ir a nadar. Sin embargo, elijió jugar fútbol con sus amigos.","Er schwimmt gerne, aber er hat sich entschieden, mit seinen Freunden Fußball zu spielen.","trog-item-90

Sheet: translation-items-v1"
trog-item-91,trog,"Despite the noise in the classroom, she focused on reading her notebook.","A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,"trog-item-91

Sheet: translation-items-v1"
trog-item-92,trog,He wore the clown's hat despite its large size.,Él usó el sombrero de payaso a pesar de su gran tamaño.,Er trug die Clownsmütze trotz ihrer großen Größe.,"trog-item-92

Sheet: translation-items-v1"
trog-item-93,trog,The duck following the turtle is walking across the bridge.,El pato que seguía a la tortuga está caminando por el puente.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.","trog-item-93

Sheet: translation-items-v1"
trog-item-94,trog,Bumping the table with my foot caused a book to fall.,"Al tropezar la mesa con mi pie, tumbé un libro.",Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,"trog-item-94

Sheet: translation-items-v1"
trog-item-95,trog,The person chases the dog that is big.,La persona persigue al perro que es grande.,The person chases the dog that is big.,"trog-item-95

Sheet: translation-items-v1"
trog-item-96,trog,The girl wearing a backpack was given a pen by her friend.,A la chica que llevaba mochila su amiga le regaló un bolígrafo.,The girl wearing a backpack was given a pen by her friend.,"trog-item-96

Sheet: translation-items-v1"
